UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,POP_CIV,POP100POV,PCT100POV,POP200POV,PCT200POV,TOTAL_POP_POV,PCSA,PCSA_SCORE,PCSA_CIV,PCSA_SCORE_CIV,PC_PHYS,PC_PHYS_R,PC_PHYS_R_CIV,DENTIST,DENTIST_R,DENTIST_R_CIV,PSYCH,PSYCH_R,PSYCH_R_CIV,HISPANIC,PCT_HSPNC,WHITE,PCT_WHITE,NHS_WHITE,PCT_NHS_WH,BLACK,PCT_BLACK,NHS_BLACK,PCT_NHS_BL,ASIAN,PCT_ASIAN,NHS_ASIAN,PCT_NHS_AS,AMIND_ESK,PCT_AMIND_ESK,NHS_AMIND_ESK,PCT_NHS_AMIND_ESK,ISLANDER,PCT_ISLANDER,NHS_ISLANDER,PCT_NHS_ISLANDER,OTHER_RACE,PCT_OTHER,NHS_OTHER_,PCT_NHS_OTHER,MULTI_RACE,PCT_MULTI,NHS_MULTI_,PCT_NHS_MULTI,AGE_65OVER,PCT_65OVER,AGE_18_64,PCT_18_64,AGE_UNDR18,PCT_UNDR18,AGE_UNDER5,PCT_UNDER5,YTH_RATIO,ELD_RATIO
11,1,Alameda,1.1,Livermore Central and West/Spring Town,Urban,1657.61,31.352961,51971,51731,2854,5.53,8062,15.62,51620,0,0,0,0,35,1484.89,1478.03,56,928.05,923.77,3,17323.67,17243.67,10713,20.61,41846,80.52,33733,64.91,1540,2.96,1138,2.19,5497,10.58,4674,8.99,490,0.94,32,0.06,302,0.58,214,0.41,4395,8.46,187,0.36,1947,3.75,1280,2.46,5246,10.09,33796,65.03,12929,24.88,3508,6.75,0.38,0.16
8,1,Alameda,1.2,Altamont/Livermore East/Midway/Mountain House/Scotts Corner,Rural,111.1,326.470892,36272,36228,1917,5.29,4688,12.93,36248,1,6,0,0,7,5181.71,5175.43,9,4030.22,4025.33,2,18136,18114,4966,13.69,29938,82.54,25376,69.96,575,1.59,464,1.28,5081,14.01,4075,11.23,474,1.31,186,0.51,141,0.39,0,0,1731,4.77,22,0.06,1567,4.32,1183,3.26,3408,9.4,22786,62.82,10078,27.78,2329,6.42,0.44,0.15
12,7,Butte,10,Oroville/Palermo/Thermalito,Rural,174.01,277.473397,48284,46769,10146,21.61,22148,47.18,46945,1,5,0,0,44,1097.36,1062.93,22,2194.73,2125.86,3,16094.67,15589.67,6193,12.83,40148,83.15,34838,72.15,1725,3.57,1310,2.71,3428,7.1,3014,6.24,2814,5.83,855,1.77,194,0.4,113,0.23,3019,6.25,0,0,2922,6.05,1961,4.06,8101,16.78,27649,57.26,12534,25.96,3281,6.8,0.45,0.29
1,49,Modoc,100,Adin/Lookout/Newell,Frontier,2.39,944.909102,2261,2261,339,15.04,1137,50.44,2254,1,8,0,0,0,0,0,0,0,0,0,0,0,534,23.62,2185,96.64,1683,74.44,0,0,0,0,14,0.62,14,0.62,30,1.33,26,1.15,0,0,0,0,59,2.61,0,0,27,1.19,4,0.18,387,17.12,1222,54.05,652,28.84,199,8.8,0.53,0.32
2,51,Mono,102,Benton/Bridgeport/Chalfant/Crowley Lake/Coleville/Hammill Valley/June Lake/Lee Vining/Paradise/Sunny Slopes/Topaz/Walker,Frontier,1.91,3065.485264,5843,5812,446,7.67,1004,17.27,5812,0,0,0,0,2,2921.5,2906,0,0,0,0,0,0,686,11.74,5336,91.32,4689,80.25,65,1.11,3,0.05,6,0.1,0,0,565,9.67,379,6.49,7,0.12,0,0,70,1.2,0,0,173,2.96,86,1.47,564,9.65,4116,70.44,1163,19.9,476,8.15,0.28,0.14
1,51,Mono,103,Mammoth Lakes,Rural,121.45,66.383181,8062,7977,1218,15.15,3091,38.44,8041,0,0,0,0,9,895.78,886.33,4,2015.5,1994.25,0,0,0,2798,34.71,6323,78.43,4955,61.46,99,1.23,99,1.23,34,0.42,34,0.42,300,3.72,0,0,136,1.69,115,1.43,1312,16.27,0,0,142,1.76,61,0.76,593,7.36,5660,70.21,1809,22.44,437,5.42,0.32,0.1
1,53,Monterey,104,Big Sur/Lucia,Frontier,7.5,259.041025,1944,1142,475,24.43,704,36.21,1944,0,0,0,0,2,972,571,0,0,0,0,0,0,282,14.51,1767,90.9,1588,81.69,6,0.31,6,0.31,68,3.5,0,0,68,3.5,0,0,68,3.5,0,0,103,5.3,0,0,68,3.5,68,3.5,217,11.16,1443,74.23,284,14.61,104,5.35,0.2,0.15
3,53,Monterey,105,King City/San Lucas,Rural,34.33,451.536002,15500,15500,2018,13.04,8035,51.94,15470,0,0,0,0,19,815.79,815.79,5,3100,3100,0,0,0,12411,80.07,12109,78.12,2516,16.23,144,0.93,10,0.06,366,2.36,208,1.34,368,2.37,78,0.5,199,1.28,53,0.34,2835,18.29,0,0,521,3.36,224,1.45,767,4.95,9109,58.77,5624,36.28,1673,10.79,0.62,0.08
1,53,Monterey,106,Bradley/San Ardo,Frontier,2.14,1435.062434,3069,3069,294,9.64,862,28.25,3051,1,6,0,0,0,0,0,0,0,0,0,0,0,910,29.65,2803,91.33,2074,67.58,18,0.59,15,0.49,24,0.78,0,0,53,1.73,21,0.68,0,0,0,0,230,7.49,4,0.13,55,1.79,45,1.47,305,9.94,2053,66.89,711,23.17,149,4.86,0.35,0.15
8,53,Monterey,107,Chualar/Gonzalez/Greenfield/Soledad,Rural,107.9,489.525957,52818,42163,6994,16.7,20460,48.85,41881,1,8,0,0,23,2296.43,1833.17,12,4401.5,3513.58,0,0,0,41193,77.99,36354,68.83,6182,11.7,3423,6.48,3175,6.01,1802,3.41,1437,2.72,1799,3.41,303,0.57,86,0.16,39,0.07,10609,20.09,165,0.31,1221,2.31,324,0.61,2821,5.34,35099,66.45,14898,28.21,4569,8.65,0.42,0.08
13,53,Monterey,108,Carmel Valley/Castroville/Marina/Moss Landing/Ord,Rural,162.38,344.147327,55881,54817,5669,10.39,14680,26.91,54560,1,7,0,0,11,5080.09,4983.36,11,5080.09,4983.36,4,13970.25,13704.25,15351,27.47,40493,72.46,28152,50.38,4028,7.21,2716,4.86,7285,13.04,5112,9.15,1548,2.77,236,0.42,1325,2.37,942,1.69,5591,10.01,219,0.39,3853,6.9,3153,5.64,5857,10.48,35811,64.08,14213,25.43,4296,7.69,0.4,0.16
8,53,Monterey,109.1,Aromas/Las Lomas/Pajaro/Prunedale,Rural,190.09,211.469041,40199,40126,5014,12.51,12763,31.84,40080,1,7,0,0,5,8039.8,8025.2,2,20099.5,20063,0,0,0,21688,53.95,31958,79.5,15918,39.6,414,1.03,380,0.95,1805,4.49,1523,3.79,513,1.28,80,0.2,153,0.38,13,0.03,6196,15.41,62,0.15,760,1.89,535,1.33,3895,9.69,25086,62.4,11218,27.91,2913,7.25,0.45,0.16
32,53,Monterey,109.2,Salinas/Spreckels,Urban,3814.74,38.710388,147670,146090,25880,17.79,69385,47.68,145515,0,0,0,0,152,971.51,961.12,104,1419.9,1404.71,8,18458.75,18261.25,108594,73.54,100706,68.2,25920,17.55,3505,2.37,2238,1.52,11245,7.61,8928,6.05,1906,1.29,275,0.19,283,0.19,157,0.11,35129,23.79,254,0.17,4530,3.07,1304,0.88,11588,7.85,89356,60.51,46726,31.64,14102,9.55,0.52,0.13
1,7,Butte,11,Berry Creek/Brownsville/Concow/Feather Falls/Forbestown,Frontier,10.92,444.715114,4858,4858,1032,21.26,2143,44.15,4854,1,9,0,0,0,0,0,0,0,0,0,0,0,268,5.52,4549,93.64,4007,82.48,52,1.07,20,0.41,59,1.21,50,1.03,483,9.94,99,2.04,69,1.42,17,0.35,100,2.06,6,0.12,434,8.93,391,8.05,939,19.33,3076,63.32,843,17.35,181,3.73,0.27,0.31
27,53,Monterey,110,Carmel/Del Rey Oaks/Monterey/Pacific Grove/Sand City/Seaside,Urban,895.32,100.918387,90354,87049,7932,9.12,20957,24.08,87013,0,0,0,0,124,728.66,702.01,112,806.73,777.22,26,3475.15,3348.04,18439,20.41,69634,77.07,57185,63.29,4670,5.17,3549,3.93,9223,10.21,7315,8.1,1836,2.03,165,0.18,952,1.05,532,0.59,8269,9.15,401,0.44,3751,4.15,2768,3.06,17105,18.93,57434,63.57,15815,17.5,4738,5.24,0.28,0.3
4,55,Napa,111.1,Angwin/Deer Park/St. Helena,Rural,108.95,126.950733,13831,12091,886,7.22,2334,19.02,12274,0,0,0,0,15,922.07,806.07,13,1063.92,930.08,5,2766.2,2418.2,3012,21.78,11629,84.08,9211,66.6,488,3.53,382,2.76,954,6.9,786,5.68,273,1.97,63,0.46,88,0.64,30,0.22,1045,7.56,7,0.05,613,4.43,340,2.46,2385,17.24,8729,63.11,2717,19.64,746,5.39,0.31,0.27
2,55,Napa,111.2,Calistoga,Rural,84.41,71.130717,6004,6004,578,9.63,1691,28.16,6004,1,6,0,0,1,6004,6004,2,3002,3002,4,1501,1501,2338,38.94,5566,92.7,3583,59.68,36,0.6,0,0,34,0.57,19,0.32,17,0.28,0,0,0,0,0,0,379,6.31,36,0.6,28,0.47,28,0.47,1077,17.94,3676,61.23,1251,20.84,598,9.96,0.34,0.29
