Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Footnote,Measure Start Date,Measure End Date,Location
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate,MORT_30_AMI,No different than the National Rate,91,14.6,11.5,18.5,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Death rate for CABG,MORT_30_CABG,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Death rate for chronic obstructive pulmonary disease (COPD) patients,MORT_30_COPD,No different than the National Rate,82,8.4,5.7,11.7,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Heart failure (HF) 30-Day Mortality Rate,MORT_30_HF,No different than the National Rate,98,11.5,8.7,15.4,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Pneumonia (PN) 30-Day Mortality Rate,MORT_30_PN,Worse than the National Rate,155,15.8,12.2,20.1,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Death rate for stroke patients,MORT_30_STK,No different than the National Rate,46,14.2,10.3,18.8,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,READM_30_AMI,No different than the National Rate,68,16.3,13.3,19.8,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Rate of unplanned readmission for CABG,READM_30_CABG,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Rate of unplanned readmission for chronic obstructive pulmonary disease (COPD) patients,READM_30_COPD,No different than the National Rate,93,18.9,15.6,23.0,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Heart failure (HF) 30-Day Readmission Rate,READM_30_HF,No different than the National Rate,117,23.3,19.6,27.8,,07/01/2011,06/30/2014,"600 NORTH HIGHLAND SPRINGS AVENUE
BANNING, CA 92220
"
