,County,num_tracts,n_food_des,n_urban,n_rural,urban_des,rural_des,Rural,Urban,LILATracts_1And10,high_food_des_prev,cnty_obesity_pct,cnty_obesity_pct_adj,cnty_dm_pct,cnty_dm_pct_adj,cnty_inactive_pct,cnty_inactive_pct_adj,POP2010,OHU2010,NUMGQTRS,HUNVFlag,Adolescent_births,ABR,p_hs_edatt,PC_PHYS_R,DENTIST_R,PSYCH_R,PCT_HSPNC,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_AMIND_ESK,PCT_ISLANDER,PCT_MULTI,PCT_OTHER,PCT_65OVER,PCT_18_64,PCT_UNDR18,PCT_UNDER5,des_percent,unemployment_rate,n_hospitals,mort_30_ami,mort_30_cabg,mort_30_copd,mort_30_hf,mort_30_pn,mort_30_stk,readm_30_ami,readm_30_cabg,readm_30_copd,readm_30_hf,readm_30_hip_knee,readm_30_hosp_wide,readm_30_pn,readm_30_stk,Chlamydia,Tuberculosis,Gonorrhea,HIV,Influenza Death (<65 years of age),Measles,Mumps,Pertussis,Rubella,Varicella Hospitalizations,opiods_rx_1000,opiods_greater_than_stateavg,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,PCH_FFR_07_12,FFR07,FFR12,pop2010_in_des
0,Alameda,360.0,15.0,354.0,6.0,15.0,0.0,0.0166666666667,0.983333333333,0.0416666666667,0.0,20.7,20.4,7.8,7.8,16.0,16.1,1510271,545138,37442.0,53,2765.0,18.09375,85.7,2543.085625,1586.53375,18435.379375,20.824375,51.65875,13.03,27.7825,1.590625,1.195625,4.663125,9.9725,10.795625,66.281875,22.920625,6.53,0.0416666666667,8.20853174603,168.0,13.8375,2.8,7.78888888889,11.3555555556,11.4444444444,13.8111111111,17.825,15.3,20.5777777778,22.6,4.85714285714,15.4727272727,17.8777777778,13.45,464.349,12.354,127.103,15.657,0.066,0.132,0.066,28.803,0.0,0.132,557.2,0,1.122215,1.164422,0.8915755,8.90287769784,1112.0,1211,56082.0
1,Alpine,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,23.2,9.6,7.7,18.0,17.3,1175,497,24.0,0,0.0,0.0,81.668627451,1176.0,0.0,0.0,5.36,68.96,0.34,4.08,27.13,0.0,4.51,4.0,9.86,64.03,26.11,9.44,0.0,11.6692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.68,0,1.032918,1.089488,0.8770728,-50.0,2.0,1,
2,Amador,9.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,22.8,9.8,7.5,17.2,15.8,38091,14569,4551.0,2,55.0,19.0,87.7,2341.85,3025.82666667,4560.5,9.21333333333,94.4466666667,1.08,1.54666666667,3.09,0.363333333333,4.01,3.49,21.4533333333,62.17,16.38,3.29333333333,0.0,11.05625,14.0,15.3,0.0,8.7,12.4,12.5,17.1,0.0,0.0,20.6,21.9,4.9,15.0,15.7,11.4,187.518,2.641,10.564,0.0,0.0,2.641,0.0,10.564,0.0,0.0,1244.76,1,1.032918,1.089488,0.8770728,-5.55555555556,18.0,17,
3,Butte,51.0,14.0,38.0,13.0,13.0,1.0,0.254901960784,0.745098039216,0.274509803922,1.0,24.3,24.3,8.1,7.3,16.8,16.3,220000,87618,4942.0,13,590.0,23.8875,86.1,861.2775,2532.1875,6141.97625,13.28125,90.34375,1.4,3.62875,4.29375,0.60875,4.95,5.03875,15.455,61.51375,23.0325,5.30375,0.274509803922,11.2293577982,56.0,13.4333333333,3.2,7.55,10.375,10.975,13.3666666667,16.5666666667,14.6,21.625,22.475,5.43333333333,16.225,17.875,12.7666666667,364.594,0.909,27.731,2.273,0.0,0.0,0.0,14.547,0.0,0.455,1389.2,1,0.9964433,1.130546,0.8153738,2.68456375839,149.0,153,58979.0
4,Calaveras,10.0,0.0,2.0,8.0,0.0,0.0,0.8,0.2,0.0,0.0,25.8,25.3,9.1,6.7,17.7,16.1,45578,18886,493.0,1,73.0,17.7,93.1,2190.19,2420.74,45994.0,9.99,93.92,1.21,1.68,3.39,0.15,2.64,2.37,20.03,59.92,20.05,4.14,0.0,8.125,14.0,0.0,0.0,8.0,12.2,10.9,14.6,0.0,0.0,20.8,22.3,4.8,15.7,16.6,14.4,105.597,0.0,13.2,2.2,0.0,0.0,0.0,19.799,0.0,0.0,1068.98,1,1.032918,1.089488,0.8770728,-7.40740740741,27.0,25,
5,Colusa,5.0,1.0,2.0,3.0,1.0,0.0,0.6,0.4,0.2,0.0,22.6,22.3,7.8,7.4,15.8,15.5,21419,7056,225.0,0,73.0,29.625,68.7,2974.2275,3280.875,1927.5,49.595,73.255,1.535,1.9925,3.765,0.545,4.6975,24.02,11.985,58.805,29.2075,7.8625,0.2,14.952173913,14.0,0.0,0.0,7.8,11.5,10.9,0.0,0.0,0.0,20.6,21.5,0.0,15.5,16.8,0.0,144.3,13.965,0.0,0.0,0.0,0.0,0.0,51.203,0.0,0.0,836.42,1,1.032918,1.089488,0.8770728,-16.6666666667,12.0,10,6055.0
6,Contra Costa,208.0,15.0,202.0,6.0,15.0,0.0,0.0288461538462,0.971153846154,0.0721153846154,0.0,23.7,23.4,7.6,7.0,16.4,16.1,1049025,375364,10314.0,30,1894.0,16.7090909091,88.4,1972.29636364,1642.19727273,11277.6736364,24.3181818182,65.9845454545,10.4336363636,15.9245454545,1.34636363636,0.812727272727,4.54545454545,10.4727272727,11.94,62.9445454545,25.1154545455,6.62454545455,0.0721153846154,7.73059701493,98.0,14.225,2.75,7.68,11.4,10.58,13.98,16.875,12.9,19.68,21.1,5.175,14.6571428571,16.52,12.3,369.417,3.136,78.027,9.029,0.095,0.095,0.0,19.483,0.0,0.0,767.82,1,1.122215,1.164422,0.8915755,1.76848874598,622.0,633,77910.0
7,Del Norte,7.0,3.0,4.0,3.0,2.0,1.0,0.428571428571,0.571428571429,0.428571428571,1.0,25.5,25.3,8.8,8.1,18.0,17.7,28610,9907,3818.0,2,128.0,49.7,82.1,862.76,3163.44,4745.17,17.2,78.9,5.04,3.65,10.01,1.04,6.59,8.35,13.82,63.85,22.32,5.99,0.428571428571,9.992,14.0,13.8,0.0,7.6,10.7,12.3,14.5,16.6,0.0,19.6,23.3,0.0,15.3,16.9,12.2,161.16,0.0,3.503,3.503,0.0,0.0,0.0,56.056,0.0,0.0,1604.28,1,0.9964433,1.130546,0.8153738,-21.4285714286,14.0,11,7023.0
8,El Dorado,43.0,3.0,20.0,23.0,2.0,1.0,0.53488372093,0.46511627907,0.0697674418605,0.0,20.3,19.7,8.1,6.8,15.2,14.4,181058,70223,1643.0,3,234.0,14.44,93.4,4133.862,3867.794,14090.942,11.49,91.686,0.988,3.392,2.644,0.376,3.318,4.386,14.238,63.546,22.212,5.016,0.0697674418605,8.65671641791,28.0,12.8,0.0,7.85,10.35,11.4,15.8,16.5,0.0,19.6,20.1,4.65,14.5,16.9,11.2,134.31,0.553,8.843,2.211,0.0,0.0,0.0,29.847,0.0,0.0,1066.12,1,1.032918,1.089488,0.8770728,-15.9663865546,119.0,100,10937.0
9,Fresno,199.0,31.0,170.0,29.0,26.0,5.0,0.145728643216,0.854271356784,0.155778894472,0.0,29.4,29.2,9.0,9.1,20.0,20.1,930450,289391,17523.0,44,5439.0,49.4285714286,72.9,4179.92071429,3755.86214286,16305.3842857,59.4907142857,69.3207142857,5.04428571429,7.77142857143,2.14,0.215,3.14071428571,18.8707142857,8.59357142857,59.815,31.5921428571,9.15928571429,0.155778894472,11.708650519,126.0,13.8,3.1,9.025,12.54,13.05,16.4,17.42,14.6666666667,20.15,23.0666666667,4.3,15.0125,17.3,13.6333333333,638.821,5.899,85.591,11.047,0.0,0.0,0.0,58.991,0.0,0.215,635.82,1,0.9964433,1.130546,0.8153738,6.09981515712,541.0,574,167641.0
